objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
8465731	0	object/building/military/military_outpost_guard_house_imperial.iff	0	454.2085	7	2042.442	0.7073893	0	0.706824	0		$|
8465732	8465731	object/cell/cell.iff	1	0	0	0	1	1.401298E-45	0	0		$|
8465733	8465731	object/cell/cell.iff	2	0	0	0	1	2.802597E-45	0	0		$|
8465748	0	object/static/structure/general/banner_imperial_style_01.iff	0	447.6367	7	2046.487	-0.6967068	0	0.7173561	0		$|
8465761	0	object/tangible/furniture/all/frn_all_command_console.iff	0	458.5037	14.03845	2046.978	0.9305076	0	0.3662726	0		$|
8465763	0	object/tangible/furniture/all/frn_all_technical_console_s02.iff	0	458.4167	13.90637	2037.519	0.9998	0	0.01999867	0		$|
9015505	0	object/static/structure/naboo/gungan_damaged_narrow_arch_s01.iff	0	496.3301	44.31957	1214.516	0.9151163	0	0.4031899	0		$|
9015508	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	485.3762	56.05996	1232.359	1	0	0	0		$|
9015509	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	486.3606	56.05247	1232.338	1	0	0	0		$|
9015510	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	487.3027	56.02564	1232.309	1	0	0	0		$|
9015512	0	object/static/structure/naboo/gungan_damaged_narrow_arch_s01.iff	0	481.1428	53.19154	1228.652	0.9847265	0	-0.1741081	0		$|
9015513	0	object/static/structure/naboo/gungan_damaged_narrow_arch_s01.iff	0	474.5811	52.995	1229.787	0.9553365	0	0.2955202	0		$|
9015514	0	object/static/structure/naboo/gungan_damaged_narrow_arch_s01.iff	0	473.5999	53.55939	1236.487	0.9341238	0	-0.3569493	0		$|
9015515	0	object/static/structure/naboo/gungan_damaged_narrow_arch_s01.iff	0	479.5393	61.32648	1232.187	0.7583619	0	-0.6518338	0		$|
9015516	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	477.2769	62.26225	1230.955	0.7091024	0	0.02745463	0.0109184		$|
