objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
189326	0	object/static/structure/dathomir/mtn_clan_pillar_s01.iff	0	1137.438	392.1355	1777.334	0.7384647	0	-0.6742921	0		$|
1105913	0	object/building/endor/endor_tiki_torch.iff	0	1106.008	386.6646	1824.167	1	0	0	0		$|
1105914	0	object/building/endor/endor_tiki_torch.iff	0	1125.148	387.4356	1823.67	1	0	0	0		$|
1105915	0	object/building/endor/endor_tiki_torch.iff	0	1100.724	380.0125	1805.505	1	0	0	0		$|
1105916	0	object/building/endor/endor_tiki_torch.iff	0	1108.941	383.5001	1807.458	1	0	0	0		$|
1105917	0	object/tangible/camp/campfire_logs_burnt.iff	0	1110.342	381.9753	1792.576	0.9998	0	0	0		$|
1105918	0	object/static/particle/pt_lair_evil_fire_large_red.iff	0	1110.256	381.9553	1792.583	1	0	0	0		$|
1105919	0	object/static/structure/general/streetlamp_small_red_style_01.iff	0	1110.131	380.1098	1794.243	1	0	0	0		$|
1105920	0	object/static/structure/general/skeleton_human_head.iff	0	1116.968	383.0746	1807.968	1	0	0	0		$|
1105921	0	object/static/structure/general/skeleton_human_head.iff	0	1116.82	383.0531	1807.776	1	0	0	0		$|
1105922	0	object/static/item/item_bottle_fat.iff	0	1114.942	382.6775	1808.538	1	0	0	0		$|
1105923	0	object/static/item/item_bottle_pear.iff	0	1114.889	382.6581	1808.844	1	0	0	0		$|
1105924	0	object/static/item/item_bottle_tall.iff	0	1114.817	382.6906	1808.063	1	0	0	0		$|
1105925	0	object/static/item/item_bread_loaf.iff	0	1115.779	382.8061	1807.767	1	0	0	0		$|
1105926	0	object/static/item/item_food_vegetable_s01.iff	0	1115.576	382.7518	1808.091	1	0	0	0		$|
1105927	0	object/static/item/item_food_fruit_s03.iff	0	1115.365	382.7891	1807.647	1	0	0	0		$|
1105928	0	object/static/item/item_food_fruit_s03.iff	0	1095.398	379.4246	1803.77	1	0	0	0		$|
1105929	0	object/static/item/item_food_fruit_s02.iff	0	1095.472	379.4305	1803.489	1	0	0	0		$|
1105930	0	object/static/item/item_food_vegetable_s01.iff	0	1095.128	379.4608	1803.52	1	0	0	0		$|
1105931	0	object/static/item/item_food_vegetable_s02.iff	0	1094.802	379.496	1803.409	1	0	0	0		$|
1105932	0	object/static/item/item_bowl_plain.iff	0	1093.918	379.6027	1803.135	1	0	0	0		$|
1105933	0	object/static/structure/dantooine/dant_skull_lizard.iff	0	1092.475	379.9264	1803.887	-0.0007963169	0	0.9999997	0		$|
1105934	0	object/static/structure/dantooine/dant_skull_thune.iff	0	1100.818	389.403	1831.418	0.3886848	0	0.9213709	0		$|
1105935	0	object/static/structure/general/skeleton_human_head.iff	0	1100.747	390.4174	1831.513	0.1437045	0	0.9896206	0		$|
1105936	0	object/static/item/item_bottle_tall.iff	0	1103.139	389.2458	1831.935	1	0	0	0		$|
1105937	0	object/static/item/item_bottle_pear.iff	0	1103.493	389.2488	1831.604	1	0	0	0		$|
1105938	0	object/static/item/item_bottle_fat.iff	0	1102.819	389.2565	1831.289	1	0	0	0		$|
1105939	0	object/static/item/item_bread_loaf.iff	0	1129.593	388.0471	1829.688	1	0	0	0		$|
1105940	0	object/static/item/item_bread_loaf.iff	0	1129.172	387.9392	1829.29	1	0	0	0		$|
1105941	0	object/static/item/item_cheese_wheel_s1_partial.iff	0	1129.086	388.0343	1829.631	1	0	0	0		$|
1105942	0	object/static/item/item_food_vegetable_s02.iff	0	1129.835	388.9633	1832.264	1	0	0	0		$|
1105943	0	object/static/item/item_food_vegetable_s03.iff	0	1129.942	388.865	1832.05	1	0	0	0		$|
1105944	0	object/static/item/item_bottle_tall.iff	0	1129.281	387.6388	1828.123	1	0	0	0		$|
1105948	0	object/building/endor/endor_tiki_torch.iff	0	1119.861	391.833	1735.236	1	0	0	0		$|
1105953	0	object/building/endor/endor_tiki_torch.iff	0	1105.975	389.835	1715.227	1	0	0	0		$|
9725663	0	object/static/structure/dantooine/dant_small_mudhut.iff	0	1101.988	388.4946	1830.43	0.03919367	0	0.9992316	0	theme_park.dungeon.generic_spawner	spawn_table|4|datatables/spawning/poi_spawner/dathomir/dath_sing_mtn_nw_mtn_city.iff|$|
9725664	0	object/static/structure/dantooine/dant_small_mudhut.iff	0	1127.633	389.315	1830.778	-0.4311765	0	0.9022676	0		$|
9725665	0	object/static/structure/dantooine/dant_small_mudhut.iff	0	1116.975	383.2943	1809.979	0.8050718	0	-0.5931773	0		$|
9725666	0	object/static/structure/dantooine/dant_small_mudhut.iff	0	1093.871	381.1072	1801.694	0.7248361	0	0.6889214	0		$|
9725668	0	object/static/structure/dathomir/mtn_clan_strong_fence_s01.iff	0	1115.147	385.3138	1764.526	0.9810477	0	-0.1937666	0		$|
9725669	0	object/static/structure/dathomir/mtn_clan_strong_fence_s01.iff	0	1122.368	385.4125	1768.05	0.9810476	0	-0.1937666	0		$|
9725672	0	object/static/structure/dathomir/mtn_clan_gate_s01.iff	0	1106.203	387.3403	1761.637	0.9993876	0	0.03499295	0		$|
9725676	0	object/static/structure/dathomir/mtn_clan_strong_fence_s01.iff	0	1129.616	385.5735	1772.086	0.9538469	0	-0.3002932	0		$|
9725678	0	object/static/structure/dathomir/mtn_clan_strong_fence_s01.iff	0	1135.867	387.4232	1776.807	0.9507964	0	-0.3098166	0		$|
9725681	0	object/static/structure/dathomir/mtn_clan_pillar_s01.iff	0	1110.673	381.9393	1790.072	0.01920242	0	0.9998156	0		$|
9725682	0	object/static/structure/dantooine/dant_cooking_stone.iff	0	1098.292	380.297	1808.617	1	0	0	0		$|
9725683	0	object/static/structure/dantooine/dant_cooking_stone.iff	0	1108.928	389.616	1829.884	1	0	0	0		$|
9725684	0	object/static/structure/dantooine/dant_hide_tanning_s02.iff	0	1119.165	388.5487	1827.303	-0.09067174	0	0.9958809	0		$|
9725687	0	object/static/structure/dantooine/dant_fence_8m.iff	0	1100.216	381.8108	1795.514	0.7191807	0	0.6835461	0.08589108		$|
