objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
1945762	0	object/building/general/space_dungeon_corellian_corvette.iff	0	2	0	600	1	0	0	0		portalProperty.crc|0|1993179413|$|
1945763	1945762	object/cell/base/base_cell.iff	1	0	0	0	1	0	0	0		$|
1945764	1945762	object/cell/base/base_cell.iff	2	0	0	0	1	0	0	0		$|
1945765	1945762	object/cell/base/base_cell.iff	3	0	0	0	1	0	0	0		$|
1945766	1945762	object/cell/base/base_cell.iff	4	0	0	0	1	0	0	0		$|
1945767	1945762	object/cell/base/base_cell.iff	5	0	0	0	1	0	0	0		$|
1945768	1945762	object/cell/base/base_cell.iff	6	0	0	0	1	0	0	0		$|
1945769	1945762	object/cell/base/base_cell.iff	7	0	0	0	1	0	0	0		$|
1945770	1945762	object/cell/base/base_cell.iff	8	0	0	0	1	0	0	0		$|
1945771	1945762	object/cell/base/base_cell.iff	9	0	0	0	1	0	0	0		$|
1945772	1945762	object/cell/base/base_cell.iff	10	0	0	0	1	0	0	0		$|
1945773	1945762	object/cell/base/base_cell.iff	11	0	0	0	1	0	0	0		$|
1945774	1945762	object/cell/base/base_cell.iff	12	0	0	0	1	0	0	0		$|
1945775	1945762	object/cell/base/base_cell.iff	13	0	0	0	1	0	0	0		$|
1945776	1945762	object/cell/base/base_cell.iff	14	0	0	0	1	0	0	0		$|
1945777	1945762	object/cell/base/base_cell.iff	15	0	0	0	1	0	0	0		$|
1945778	1945762	object/cell/base/base_cell.iff	16	0	0	0	1	0	0	0		$|
1945779	1945762	object/cell/base/base_cell.iff	17	0	0	0	1	0	0	0		$|
1945780	1945762	object/cell/base/base_cell.iff	18	0	0	0	1	0	0	0		$|
1945781	1945762	object/cell/base/base_cell.iff	19	0	0	0	1	0	0	0		$|
1945782	1945762	object/cell/base/base_cell.iff	20	0	0	0	1	0	0	0		$|
1945783	1945762	object/cell/base/base_cell.iff	21	0	0	0	1	0	0	0		$|
1945784	1945762	object/cell/base/base_cell.iff	22	0	0	0	1	0	0	0		$|
1945785	1945762	object/cell/base/base_cell.iff	23	0	0	0	1	0	0	0		$|
1945786	1945762	object/cell/base/base_cell.iff	24	0	0	0	1	0	0	0		$|
1945787	1945762	object/cell/base/base_cell.iff	25	0	0	0	1	0	0	0		$|
1945788	1945762	object/cell/base/base_cell.iff	26	0	0	0	1	0	0	0		$|
1945789	1945762	object/cell/base/base_cell.iff	27	0	0	0	1	0	0	0		$|
1945790	1945762	object/cell/base/base_cell.iff	28	0	0	0	1	0	0	0		$|
1945791	1945762	object/cell/base/base_cell.iff	29	0	0	0	1	0	0	0		$|
1945792	1945762	object/cell/base/base_cell.iff	30	0	0	0	1	0	0	0		$|
1945793	1945762	object/cell/base/base_cell.iff	31	0	0	0	1	0	0	0		$|
1945794	1945762	object/cell/base/base_cell.iff	32	0	0	0	1	0	0	0		$|
1945795	1945762	object/cell/base/base_cell.iff	33	0	0	0	1	0	0	0		$|
1945796	1945762	object/cell/base/base_cell.iff	34	0	0	0	1	0	0	0		$|
1945797	1945762	object/cell/base/base_cell.iff	35	0	0	0	1	0	0	0		$|
1945798	1945762	object/cell/base/base_cell.iff	36	0	0	0	1	0	0	0		$|
1945799	1945762	object/cell/base/base_cell.iff	37	0	0	0	1	0	0	0		$|
1945800	1945762	object/cell/base/base_cell.iff	38	0	0	0	1	0	0	0		$|
1945801	1945762	object/cell/base/base_cell.iff	39	0	0	0	1	0	0	0		$|
1945802	1945762	object/cell/base/base_cell.iff	40	0	0	0	1	0	0	0		$|
1945803	1945762	object/cell/base/base_cell.iff	41	0	0	0	1	0	0	0		$|
1945804	1945762	object/cell/base/base_cell.iff	42	0	0	0	1	0	0	0		$|
1945805	1945762	object/cell/base/base_cell.iff	43	0	0	0	1	0	0	0		$|
1945806	1945762	object/cell/base/base_cell.iff	44	0	0	0	1	0	0	0		$|
1945807	1945762	object/cell/base/base_cell.iff	45	0	0	0	1	0	0	0		$|
1945808	1945762	object/cell/base/base_cell.iff	46	0	0	0	1	0	0	0		$|
1945809	1945762	object/cell/base/base_cell.iff	47	0	0	0	1	0	0	0		$|
1945810	1945762	object/cell/base/base_cell.iff	48	0	0	0	1	0	0	0		$|
1945811	1945762	object/cell/base/base_cell.iff	49	0	0	0	1	0	0	0		$|
1945812	1945762	object/cell/base/base_cell.iff	50	0	0	0	1	0	0	0		$|
1945813	1945762	object/cell/base/base_cell.iff	51	0	0	0	1	0	0	0		$|
1945814	1945762	object/cell/base/base_cell.iff	52	0	0	0	1	0	0	0		$|
1945815	1945762	object/cell/base/base_cell.iff	53	0	0	0	1	0	0	0		$|
1945816	1945762	object/cell/base/base_cell.iff	54	0	0	0	1	0	0	0		$|
1945817	1945762	object/cell/base/base_cell.iff	55	0	0	0	1	0	0	0		$|
1945818	1945762	object/cell/base/base_cell.iff	56	0	0	0	1	0	0	0		$|
1945819	1945762	object/cell/base/base_cell.iff	57	0	0	0	1	0	0	0		$|
1945820	1945762	object/cell/base/base_cell.iff	58	0	0	0	1	0	0	0		$|
1945821	1945762	object/cell/base/base_cell.iff	59	0	0	0	1	0	0	0		$|
1945822	1945762	object/cell/base/base_cell.iff	60	0	0	0	1	0	0	0		$|
1945823	1945762	object/cell/base/base_cell.iff	61	0	0	0	1	0	0	0		$|
1945824	1945762	object/cell/base/base_cell.iff	62	0	0	0	1	0	0	0		$|
1945825	1945762	object/cell/base/base_cell.iff	63	0	0	0	1	0	0	0		$|
1945826	1945762	object/cell/base/base_cell.iff	64	0	0	0	1	0	0	0		$|
1945827	1945762	object/cell/base/base_cell.iff	65	0	0	0	1	0	0	0		$|
1945828	1945762	object/cell/base/base_cell.iff	66	0	0	0	1	0	0	0		$|
1945829	0	object/building/general/space_dungeon_corellian_corvette.iff	0	2	0	1000	1	0	0	0		portalProperty.crc|0|1993179413|$|
1945830	1945829	object/cell/base/base_cell.iff	1	0	0	0	1	0	0	0		$|
1945831	1945829	object/cell/base/base_cell.iff	2	0	0	0	1	0	0	0		$|
1945832	1945829	object/cell/base/base_cell.iff	3	0	0	0	1	0	0	0		$|
1945833	1945829	object/cell/base/base_cell.iff	4	0	0	0	1	0	0	0		$|
1945834	1945829	object/cell/base/base_cell.iff	5	0	0	0	1	0	0	0		$|
1945835	1945829	object/cell/base/base_cell.iff	6	0	0	0	1	0	0	0		$|
1945836	1945829	object/cell/base/base_cell.iff	7	0	0	0	1	0	0	0		$|
1945837	1945829	object/cell/base/base_cell.iff	8	0	0	0	1	0	0	0		$|
1945838	1945829	object/cell/base/base_cell.iff	9	0	0	0	1	0	0	0		$|
1945839	1945829	object/cell/base/base_cell.iff	10	0	0	0	1	0	0	0		$|
1945840	1945829	object/cell/base/base_cell.iff	11	0	0	0	1	0	0	0		$|
1945841	1945829	object/cell/base/base_cell.iff	12	0	0	0	1	0	0	0		$|
1945842	1945829	object/cell/base/base_cell.iff	13	0	0	0	1	0	0	0		$|
1945843	1945829	object/cell/base/base_cell.iff	14	0	0	0	1	0	0	0		$|
1945844	1945829	object/cell/base/base_cell.iff	15	0	0	0	1	0	0	0		$|
1945845	1945829	object/cell/base/base_cell.iff	16	0	0	0	1	0	0	0		$|
1945846	1945829	object/cell/base/base_cell.iff	17	0	0	0	1	0	0	0		$|
1945847	1945829	object/cell/base/base_cell.iff	18	0	0	0	1	0	0	0		$|
1945848	1945829	object/cell/base/base_cell.iff	19	0	0	0	1	0	0	0		$|
1945849	1945829	object/cell/base/base_cell.iff	20	0	0	0	1	0	0	0		$|
1945850	1945829	object/cell/base/base_cell.iff	21	0	0	0	1	0	0	0		$|
1945851	1945829	object/cell/base/base_cell.iff	22	0	0	0	1	0	0	0		$|
1945852	1945829	object/cell/base/base_cell.iff	23	0	0	0	1	0	0	0		$|
1945853	1945829	object/cell/base/base_cell.iff	24	0	0	0	1	0	0	0		$|
1945854	1945829	object/cell/base/base_cell.iff	25	0	0	0	1	0	0	0		$|
1945855	1945829	object/cell/base/base_cell.iff	26	0	0	0	1	0	0	0		$|
1945856	1945829	object/cell/base/base_cell.iff	27	0	0	0	1	0	0	0		$|
1945857	1945829	object/cell/base/base_cell.iff	28	0	0	0	1	0	0	0		$|
1945858	1945829	object/cell/base/base_cell.iff	29	0	0	0	1	0	0	0		$|
1945859	1945829	object/cell/base/base_cell.iff	30	0	0	0	1	0	0	0		$|
1945860	1945829	object/cell/base/base_cell.iff	31	0	0	0	1	0	0	0		$|
1945861	1945829	object/cell/base/base_cell.iff	32	0	0	0	1	0	0	0		$|
1945862	1945829	object/cell/base/base_cell.iff	33	0	0	0	1	0	0	0		$|
1945863	1945829	object/cell/base/base_cell.iff	34	0	0	0	1	0	0	0		$|
