objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
2195536	0	object/tangible/furniture/cheap/bookcase_s01.iff	0	1526.773	90	1798.041	0.9441482	0	-0.3295212	0		$|
2195537	0	object/tangible/furniture/cheap/bookcase_s01.iff	0	1527.202	90	1804.03	-0.3569493	0	0.9341238	0		$|
2195544	0	object/static/structure/dathomir/nsister_tent_house_style_01.iff	0	1525.24	90	1801.24	0.4356826	0	0.9001005	0		$|
2195545	0	object/static/item/item_jar_funk.iff	0	1528.167	91.06325	1802.135	0.9308341	0	-0.3654421	0		$|
2195546	0	object/static/item/item_jar_funk.iff	0	1528.005	91.06325	1802.356	-0.1270736	0	0.9918933	0		$|
2195547	0	object/static/item/item_jar_funk.iff	0	1528.245	91.06325	1802.331	0.9210609	0	-0.3894185	0		$|
2195548	0	object/static/item/item_jar_empty.iff	0	1528.199	90.00674	1801.346	1	0	0	0		$|
2195549	0	object/static/item/item_jar_bugs.iff	0	1528.585	91.064	1802.055	0.9210609	0	-0.3894185	0		$|
2195550	0	object/static/item/item_jar_bugs.iff	0	1528.357	91.064	1801.822	0.9210609	0	-0.3894185	0		$|
2195551	0	object/static/item/item_jar_guts.iff	0	1528.785	90.71437	1800.974	0.9676633	0	-0.2522454	0		$|
2195552	0	object/static/item/item_jar_guts.iff	0	1528.569	90.70702	1801.12	0.9676633	0	-0.2522454	0		$|
2195553	0	object/static/item/item_jar_guts.iff	0	1528.656	90.70998	1800.751	0.9676633	0	-0.2522454	0		$|
2195554	0	object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	0	1528.368	89.90977	1802.179	0.9880115	0	-0.1543801	0		$|
2195555	0	object/static/structure/tatooine/debris_tatt_crate_1.iff	0	1528.735	90	1801.073	1	0	0	0		$|
2195556	0	object/static/structure/general/prp_junk_s8.iff	0	1523.94	90.47131	1798.089	0.05117269	0	0.9986899	0		$|
2195557	0	object/static/structure/general/prp_junk_s8.iff	0	1524.815	90	1797.679	-0.09406436	0	0.9955661	0		$|
2195558	0	object/static/item/item_tank_bubble.iff	0	1528.217	90.00737	1800.871	-0.5816832	0	0.8134155	0		$|
2195559	0	object/static/item/item_tank_gas.iff	0	1528.516	90.0175	1800.069	1	0	0	0		$|
2195560	0	object/static/item/item_tank_gas.iff	0	1528.235	90.00797	1799.138	0.4234817	0	0.9059047	0		$|
2195562	0	object/static/item/item_tool_instrument_calibrator.iff	0	1528.045	90	1799.727	0.7990997	0	-0.6011985	0		$|
2195563	0	object/static/item/item_tool_meson_taloscope.iff	0	1522.75	90.6235	1799.875	0.8138785	0	0.5810351	0		$|
2195574	0	object/tangible/furniture/tatooine/frn_tato_table_small_style_01.iff	0	1522.349	90	1799.775	0.9358968	0	-0.3522743	0		$|
2195575	0	object/static/item/item_tool_recording_rod.iff	0	1522.134	90.62	1799.761	0.7807071	0	-0.6248971	0		$|
2195576	0	object/static/item/item_jar_berries.iff	0	1522.364	90.62	1800.088	1	0	0	0		$|
2195577	0	object/static/item/item_jar_guts.iff	0	1522.299	90.62	1799.691	0.9229965	0	0.3848085	0		$|
8445352	0	object/static/structure/general/lucky_despot_debris_md_engine.iff	0	1589.943	106.5676	1850.927	0.2660823	0	0.6551338	-0.6551337		$|
8445355	0	object/static/structure/dathomir/nsister_fence_style_01.iff	0	1547.582	98.6703	1833.588	1	0	0	0		$|
8445357	0	object/static/structure/dathomir/nsister_fence_style_01.iff	0	1547.704	98.88266	1842.355	-3.187176E-08	0	0.9959527	0.08987856		$|
8445358	0	object/static/structure/dathomir/nsister_fence_style_01.iff	0	1548.679	99.13237	1850.393	0.9581338	0	0.1268418	-0.02043442		$|
