objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
108	0	object/building/naboo/cantina_naboo.iff	0	776.64	4.17	1522.46	0.764842	0	0.644217	0	planet_map.map_loc:structure.municipal.cantina:theme_park.dungeon.generic_spawner	spawn_table|4|datatables/spawning/building_spawns/moenia_cantina.iff|healing.canhealshock|0|1|safeLogout|0|1|$|
109	108	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
110	108	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
516454247	110	object/tangible/collection/hanging_light_02_04.iff	2	31.6084	4.15823	-6.67701	1	0	0	0		$|
111	108	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
112	108	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
113	108	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
114	108	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
115	108	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
601454200	115	object/tangible/collection/col_ent_fan_06.iff	7	3.34887	-0.132562	18.3074	-0.507141	-0.492198	0.50339	0.497137		$|
116	108	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
4657125	116	object/tangible/collection/rare_melee_kaminoan_staff.iff	8	-9.27532	-0.109616	-21.8257	0.707386	0	0	0.706827		$|
117	108	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
118	108	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
119	108	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
871829	119	object/tangible/terminal/terminal_mission_rebel.iff	11	-29.0849	-0.894984	1.0454	0.707107	0	0.707106	0		$|
871833	119	object/tangible/terminal/terminal_mission_rebel.iff	11	-29.0512	-0.894985	2.79176	0.707107	0	0.707106	0		$|
-6	119	object/tangible/npc/rebel_recruiter_spawner.iff	11	-28.5	-0.9	-1.3	0.707107	0	0.707106	0		$|
120	108	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
121	108	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
122	108	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
123	108	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
129	0	object/tangible/microphone/microphone.iff	0	746.11	4.17	1497.92	-0.637151	0	0.770739	0		$|
133	0	object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	0	731.677	2.03567	1442.39	-0.238476	0	0.971148	0		$|
134	0	object/static/structure/naboo/gungan_cleft_wall_lg_s01.iff	0	731.436	2.15256	1435.2	0.978031	0	-0.20846	0		$|
136	0	object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	0	736.364	2.65473	1449.09	0.932327	0	0.361615	0		$|
137	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	739.626	3.52659	1452.78	0.434248	0	0.900793	0		$|
138	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	729.996	3.53754	1438.71	1	0	0	0		$|
139	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	733.648	3.4108	1446.15	0.475732	0	0.87959	0		$|
140	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	733.155	3.28456	1431.23	-0.54869	0	0.836026	0		$|
143	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	717.583	2.20636	1416.8	0.143704	0	0.98962	0		$|
144	0	object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	0	712.796	2.20636	1415.65	0.780706	0	0.624898	0		$|
145	0	object/static/structure/naboo/gungan_pillar_damaged_s01.iff	0	708.886	2.20636	1414.79	0.189641	0	0.981853	0		$|
146	0	object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	0	705.114	2.20636	1412.84	-0.519098	0	0.854714	0		$|
147	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	701.629	2.20636	1410.79	0.953847	0	0.300293	0		$|
1340289	0	object/tangible/speaker/speaker.iff	0	640.451	3.73155	1257.67	0.849901	0	0.526943	0		$|
1340290	0	object/tangible/microphone/microphone.iff	0	641.515	3.75	1264.36	0.844589	0	0.535416	0		$|
1340291	0	object/tangible/instrument/ommni_box.iff	0	637.988	3.75	1265.51	0.987227	0	-0.159318	0		$|
1340292	0	object/tangible/speaker/speaker.iff	0	636.282	3.75	1267.6	0.891569	0	0.452885	0		$|
1340293	0	object/tangible/instrument/nalargon.iff	0	639.527	3.75	1261.91	0.90687	0	0.421409	0		$|
1340294	0	object/static/structure/general/streetlamp_small_style_01.iff	0	641.8	3.75	1264.5	-0.540305	0	0.841469	0		$|
1340295	0	object/static/structure/naboo/poi_nboo_tent_small.iff	0	682.533	3.75	1170.81	1	0	0	0		$|
1340296	0	object/tangible/furniture/elegant/love_seat_s01.iff	0	684.574	3.75	1169.48	0.967663	0	-0.252245	0		$|
1340297	0	object/tangible/furniture/elegant/love_seat_s01.iff	0	680.819	3.75	1169.21	0.956802	0	0.29074	0		$|
1340299	0	object/static/item/item_container_organic_structure.iff	0	682.746	3.75	1168.33	0.984727	0	-0.174108	0		$|
1340300	0	object/static/item/item_container_organic_structure.iff	0	681.827	3.75	1168.55	0.877583	0	-0.479426	0		$|
1340301	0	object/static/item/item_container_organic_structure.iff	0	682.412	3.75	1169.04	0.96639	0	-0.257081	0		$|
1340303	0	object/static/structure/general/data_terminal_free_s1.iff	0	684.6	3.75	1173.19	-0.310574	0	0.950549	0		$|
1340304	0	object/tangible/furniture/elegant/chair_s01.iff	0	851.742	3.75	1305.43	-0.453596	0	0.891207	0		$|
1340305	0	object/tangible/furniture/elegant/chair_s01.iff	0	851.631	3.75	1302.33	0.924909	0	-0.380188	0		$|
1340306	0	object/tangible/furniture/elegant/chair_s01.iff	0	848.55	3.75	1303.44	0.847255	0	0.531186	0		$|
1340307	0	object/tangible/furniture/modern/table_modern_style_01.iff	0	850.323	3.75	1304.02	1	0	0	0		$|
1340309	0	object/static/item/item_jar_berries.iff	0	850.398	4.63544	1303.97	1	0	0	0		$|
1340310	0	object/static/item/item_con_plate_s1_full.iff	0	850.562	4.63544	1303.59	1	0	0	0		$|
1340311	0	object/static/item/item_glass_metal.iff	0	850.304	3.87649	1303.75	1	0	0	0		$|
1340312	0	object/static/item/item_glass_metal.iff	0	850.696	3.87649	1304.4	1	0	0	0		$|
1340313	0	object/static/item/item_glass_metal.iff	0	849.941	3.87649	1303.99	1	0	0	0		$|
1340314	0	object/static/item/item_crate_clothing_small.iff	0	760.171	3.75	1347.69	0.796084	0	-0.605186	0		$|
1340315	0	object/static/item/item_crate_clothing_small.iff	0	760.156	3.75	1348.51	-0.62161	0	0.783327	0		$|
1340316	0	object/static/item/item_raw_cloth.iff	0	760.314	4.46	1346.81	0.813878	0	-0.581035	0		$|
1340317	0	object/static/item/item_raw_cloth.iff	0	759.86	4.46	1346.55	-0.462485	0	0.886627	0		$|
1340318	0	object/static/item/item_ribbon.iff	0	760.317	4.5	1346.23	0.819648	0	0.572867	0		$|
1340319	0	object/static/item/item_ribbon.iff	0	760.367	4.5	1346.39	0.204347	0	0.978899	0		$|
1340320	0	object/tangible/furniture/elegant/chest_s01.iff	0	760.073	3.75	1346.55	1	0	0	0		$|
1340323	0	object/tangible/furniture/elegant/coffee_table_s01.iff	0	603.537	3.75	1199.49	0.919102	0	0.394019	0		$|
1340324	0	object/tangible/furniture/elegant/end_table_s01.iff	0	604.574	3.75	1198.42	0.919102	0	0.394019	0		$|
1340325	0	object/tangible/furniture/elegant/end_table_s01.iff	0	602.456	3.75	1200.6	0.919102	0	0.394019	0		$|
1340326	0	object/static/item/item_tool_radio.iff	0	604.409	4.12947	1198.49	0.928665	0	0.37092	0		$|
1340327	0	object/static/item/item_katana.iff	0	603.978	4.1611	1199.55	0.646971	0.285356	0.285356	0.646971		$|
1340328	0	object/static/item/item_rifle.iff	0	603.876	4.31921	1198.97	-0.421889	0.818757	-0.178372	-0.346165		$|
1340329	0	object/static/item/item_rifle.iff	0	603.017	4.31921	1199.86	-0.421889	0.818757	-0.178372	-0.346165		$|
1340330	0	object/static/item/item_pistol.iff	0	603.465	4.1611	1199.83	0.657968	-0.258994	-0.258994	0.657968		$|
1340331	0	object/static/item/item_carbine_dh17.iff	0	603.903	4.1611	1199.3	0.271028	-0.627233	0.686935	-0.247473		$|
1340332	0	object/static/item/item_con_ration_kit_lg.iff	0	602.485	4.1611	1200.74	0.755093	0	0.655617	0		$|
1340333	0	object/static/item/item_con_ration_kit_m.iff	0	604.908	4.1611	1198.44	1	0	0	0		$|
1544393	0	object/static/structure/general/cave_wall_damprock_style_01.iff	0	1754.63	56.0443	1516.72	-0.652799	0.155228	0.728284	-0.139139		$|
1717465	0	object/building/naboo/hotel_naboo_theed.iff	0	560.209	3.75	1250.04	0.708667	0	0.705543	0		$|
1717466	1717465	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
1717467	1717465	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
1717468	1717465	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
1717469	1717465	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
1143445	1717469	object/tangible/gambling/slot/standard.iff	4	4.38603	1.30488	-22.0814	0.999997	0	-0.00230193	0		$|
1143446	1717469	object/tangible/gambling/slot/standard.iff	4	0.312322	1.30398	-22.039	0.999997	0	-0.00230193	0		$|
1143447	1717469	object/tangible/gambling/wheel/roulette.iff	4	-1.16749	1.11418	-16.1785	0.999997	0	-0.00230193	0		$|
1143448	1717469	object/tangible/gambling/wheel/roulette.iff	4	9.47733	1.11514	-16.1891	0.999997	0	-0.00230193	0		$|
1143449	1717469	object/tangible/gambling/slot/standard.iff	4	8.42789	1.30488	-22.185	0.999997	0	-0.00230193	0		$|
1717470	1717465	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
1717471	1717465	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
1143439	1717471	object/tangible/gambling/wheel/roulette.iff	6	-15.9481	1.00091	-0.0480418	0.999973	0	-0.00730186	0		$|
1143440	1717471	object/tangible/gambling/wheel/roulette.iff	6	-15.9983	1.00092	4.32103	0.999973	0	-0.00730186	0		$|
1143441	1717471	object/tangible/gambling/slot/standard.iff	6	-12.3613	1.00074	-0.0199709	-0.701922	0	0.712255	0		$|
1143442	1717471	object/tangible/gambling/slot/standard.iff	6	-12.1589	1.00059	-0.0377283	0.712253	0	0.701923	0		$|
