objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
1234122	0	object/tangible/furniture/city/city_furniture.iff	0	981.635	119	1116.78	1	0	0	0		$|
1234124	0	object/tangible/furniture/tatooine/frn_tato_cafe_parasol.iff	0	953.945	151.269	1098.45	0.999657	0.0254083	0.00170811	-0.00616254		$|
1234126	0	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	0	953.016	150.544	1097.69	1	0	0	0		$|
1234127	0	object/tangible/furniture/tatooine/frn_tato_tbl_cafe_table_style_01.iff	0	953.904	150.544	1098.47	1	0	0	0		$|
1234129	0	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	0	952.797	150.503	1099.16	0.393287	0	0.919416	0		$|
1234130	0	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	0	954.376	150.505	1099.43	-0.422132	0	0.906534	0		$|
1234131	0	object/tangible/furniture/tatooine/frn_tato_tbl_cafe_table_style_01.iff	0	953.792	150.54	1104.72	1	0	0	0		$|
1234149	0	object/tangible/furniture/tatooine/frn_tato_cafe_parasol.iff	0	953.715	151.188	1104.76	1	0	0	0		$|
1234150	0	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	0	955.433	150.531	1105.03	-0.581683	0	0.813416	0		$|
1234151	0	object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	0	952.564	150.501	1104.4	0.601835	0	0.798621	0		$|
1234152	0	object/tangible/furniture/all/frn_bench_generic.iff	0	949.039	150.507	1092.33	0.174892	0	0.984588	0		$|
1234179	0	object/building/naboo/trandoshan_slave_naboo_house.iff	0	952.017	134.07	1098.42	0.900447	0	-0.434966	0		$|
1622485	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	973.715	119.384	1086.56	0.900447	0	-0.434966	0		$|
1622505	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	974.995	121.26	1088.25	0.946042	0	0.324043	0		$|
1622511	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	975.206	121.062	1088.54	0.842251	-0.162049	-0.41206	0.307505		$|
1622513	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	976.551	122.905	1090.2	0.84068	-0.154811	-0.411291	0.316434		$|
1622515	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	976.311	123.134	1089.9	0.900447	0	-0.434966	0		$|
1622516	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	977.934	124.901	1091.96	0.841129	-0.155261	-0.406312	0.321414		$|
1622517	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	977.676	125.098	1091.64	0.946042	0	0.324043	0		$|
1622518	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	979.265	126.759	1093.59	0.841129	-0.155261	-0.406312	0.321414		$|
1622519	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	978.977	126.88	1093.24	0.939373	0	0.342898	0		$|
1622522	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	980.805	126.528	1095.39	0.904752	0	-0.42594	0		$|
1622523	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	978.821	126.522	1097.47	-0.329521	0	0.944148	0		$|
1622524	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	981.036	126.725	1095.71	0.902611	0	-0.430458	0		$|
1622528	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	968.505	119.379	1080.05	0.946042	0	0.324043	0		$|
1622529	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	966.958	121.033	1078.1	0.405642	0.321538	0.841452	0.155005		$|
1622530	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	967.242	121.182	1078.43	0.898261	0	-0.439462	0		$|
1622531	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	965.62	122.946	1076.36	0.410622	0.316557	0.841007	0.154559		$|
1622532	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	965.843	123.063	1076.68	0.902611	0	-0.430458	0		$|
1622533	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	964.201	124.937	1074.63	0.406412	0.317326	0.843049	0.152974		$|
1622534	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	964.504	125.148	1074.99	0.902611	0	-0.430458	0		$|
1622535	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	963.013	126.714	1073.05	0.414822	0.315781	0.838943	0.15614		$|
1622536	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	963.241	126.879	1073.35	0.898261	0	-0.439462	0		$|
1622537	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	961.547	126.527	1071.23	0.434248	0	0.900793	0		$|
1622538	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	961.291	126.853	1070.95	0.94441	0	0.328769	0		$|
1622545	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	975.653	127.144	1095.48	0.900447	0	-0.434966	0		$|
1622546	0	object/static/structure/naboo/nboo_imprv_pillar_wall_ornate_small_s01.iff	0	974.031	128.785	1093.43	0.40939	0.300403	0.849227	0.144816		$|
1622547	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s07.iff	0	974.227	128.952	1093.7	0.900447	0	-0.434966	0		$|
