objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
937377	0	object/static/particle/pt_miasma_of_fog_greenish.iff	0	1159.392	41.91173	1655.832	1	0	0	0		$|
937380	0	object/static/particle/pt_poi_electricity_2x2.iff	0	1341.295	14.12161	1069.38	1	0	0	0		$|
937383	0	object/static/structure/dantooine/dant_jedi_temple_pillar_med.iff	0	741.9512	70.81544	208.3384	0.6194485	0	0.7686241	0.03953517		$|
937384	0	object/static/structure/dantooine/dant_jedi_temple_pillar_med.iff	0	746.9702	70.59704	207.3149	-0.6307312	0	0.7618117	-0.07434005		$|
937385	0	object/static/structure/dantooine/dant_jedi_temple_pillar_med.iff	0	743.1016	70.4724	204.8477	0.9737214	0	0.2123318	0.06867753		$|
937389	0	object/static/structure/general/tato_cave_rock_med.iff	0	744.3296	78.89146	206.2607	1	0	0	0		$|
937390	0	object/static/particle/pt_poi_electricity_2x2.iff	0	744.2471	78.29266	206.2744	1	0	0	0		$|
1094863	0	object/static/particle/pt_lair_evil_fire_small.iff	0	1996.37	46.58878	1856.405	1	0	0	0		$|
1414923	0	object/static/particle/pt_miasma_of_fog_gray.iff	0	1566.506	2046.952	260.1489	1	0	0	0		$|
1414926	0	object/static/item/item_container_inorganic_chemicals.iff	0	1549.331	0.611707	249.6304	0.9989877	0	0	0		$|
1414928	0	object/static/item/item_container_inorganic_minerals.iff	0	1548.634	0.7844375	248.4771	0.9990878	0	-0.0005998171	0.01498744		$|
6535834	0	object/tangible/jedi/force_shrine_stone.iff	0	358.0581	225.3341	379.124	0.7071069	0	0.707107	0		$|
6535835	0	object/static/structure/dantooine/dant_jedi_temple_pillar_sm.iff	0	353.6362	227.2127	377.5269	0.7071162	0	0.7070968	0		$|
6535836	0	object/static/structure/dantooine/dant_jedi_temple_pillar_sm.iff	0	362.3208	227.2072	377.561	1	0	0	0		$|
6535837	0	object/static/structure/dantooine/dant_jedi_temple_pillar_base.iff	0	357.0898	227.2271	377.5156	0	0	1	0		$|
6535838	0	object/static/structure/dantooine/dant_jedi_temple_pillar_base.iff	0	358.8833	227.2146	377.4678	1	0	0	0		$|
6535839	0	object/static/structure/dantooine/dant_jedi_temple_altar.iff	0	357.999	209.2735	377.5269	1	0	0	0		$|
6535840	0	object/static/particle/pt_poi_electricity_2x2.iff	0	358.0605	226.9684	379.1206	1	0	0	0		$|
7615354	0	object/static/structure/general/tato_cave_stalagmite_large.iff	0	146.3584	22.99382	1861.052	-0.6709743	0	0.7280139	-0.02629155		$|
7615357	0	object/static/structure/general/tato_cave_stalagmite_large.iff	0	149.3682	23.85057	1859.169	0.8768101	0	-0.4772953	0.002340127		$|
7615358	0	object/static/structure/general/tato_cave_stalagmite_large.iff	0	152.0449	23.33728	1855.075	0.9909577	0	-0.04958974	0.07345141		$|
7615359	0	object/static/structure/general/tato_cave_stalagmite_med.iff	0	148.4795	26.30736	1850.441	0.3854744	0	0.909712	0.06435654		$|
7615360	0	object/static/structure/general/tato_cave_stalagmite_large.iff	0	143.0581	22.23882	1860.518	-0.03181471	0	0.9902077	-0.06403548		$|
7615370	0	object/static/structure/general/streetlamp_small_style_02.iff	0	145.9277	23.12489	1856.616	1	0	0	0		$|
7615397	0	object/static/structure/general/campfire_ash.iff	0	217.2476	25.73768	1558.364	-0.5174959	0	0.7797872	0.2170571		$|
7615399	0	object/static/structure/tatooine/skeleton_krayt_head_style_01.iff	0	217.1885	24.37645	1559.029	0.05764854	0	0.9603714	-0.01243991		$|
7615402	0	object/static/particle/particle_smoke.iff	0	217.3262	25.74788	1558.172	1	0	0	0		$|
7805360	0	object/static/structure/general/skeleton_human_head.iff	0	666.4692	40.84103	1717.314	0.9410754	0	0.3381967	0		$|
7805361	0	object/static/structure/general/skeleton_human_head.iff	0	664.4355	40.78396	1716.157	0.7712455	0	-0.6365378	0		$|
7805362	0	object/static/structure/general/skeleton_human_head.iff	0	664.8125	40.81343	1715.28	-0.1238844	0	0.9922966	0		$|
7805363	0	object/static/structure/general/skeleton_human_head.iff	0	665.2344	40.82436	1717.333	0.9650925	0	-0.2619092	0		$|
7805364	0	object/static/structure/general/skeleton_human_head.iff	0	666.0298	40.87442	1715.446	0.2190043	0	0.9757238	0		$|
7805366	0	object/static/structure/general/skeleton_human_head.iff	0	666.6196	40.89319	1716.211	0.5803872	0	0.8143409	0		$|
