item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series2_diner	1								
item_tcg_loot_reward_series2_barn	1								
item_tcg_loot_reward_series2_sanyassan_skull	1								
item_tcg_loot_reward_series2_keelkana_tooth	1								
item_tcg_loot_reward_series2_mandalorian_strongbox	1								
item_tcg_loot_reward_series2_versafunction88_datapad	1								
item_tcg_loot_reward_series2_chon_bust	1								
item_tcg_loot_reward_series2_computer_console_02	1								
item_tcg_loot_reward_series2_darth_vader_statuette	1								
item_tcg_loot_reward_series2_display_case_02	1								
item_tcg_loot_reward_series2_drink_dispenser	1								
item_tcg_loot_reward_series2_indoor_garden_02	1								
item_tcg_loot_reward_series2_painting_alliance_propaganda	1								
item_tcg_loot_reward_series2_painting_darth_vader	1								
item_tcg_loot_reward_series2_princess_leia_statuette	1								
item_tcg_loot_reward_series2_vendor_meatlump	1								
item_tcg_loot_reward_series2_vendor_bomarr_monk	1								
item_tcg_loot_reward_series2_v_wing	1								
item_tcg_loot_reward_series2_podracer_mawhonic	1								
item_tcg_loot_reward_series2_greeter_ewok	1								
item_tcg_loot_reward_series2_greeter_jawa	1								
item_tcg_loot_reward_series2_greeter_serving_droid	1								
item_tcg_loot_reward_series2_arc170_flightsuit	1								
item_tcg_loot_reward_series2_diner_package	1								
item_tcg_loot_reward_series2_organizational_datapad	1								
item_tcg_loot_reward_series2_video_game_table	1								
