strItemType	comments
s	s
object/tangible/item/quest/force_sensitive/bacta_tank.iff	A Bacta Tank
weapon_carbine_e5_legendary	A Legendary E5 Carbine
weapon_pistol_fwg5_legendary	A Legendary FWG5 Pistol
weapon_energy_lance_legendary	A Legendary Nightsister Energy Lance
weapon_2h_sword_maul_legendary	A Legendary Power Hammer
weapon_stun_baton_legendary	A Legendary Stun Baton
weapon_rifle_legendary_t21	A Legendary T21 Rifle
item_painting_rodian_f_ad_01	Advertisement (Rodian)
item_crystal_tyranus_cunning_01	Cunning of Tyranus
item_forage_worm_dna	DNA Storage Device (Forage Worm)
item_housepack_emperor_chair_01_01	Emperor's Senate Office Chair
object/tangible/painting/painting_rodian_m.iff	Fighter (Painting)
item_schematic_gungan_statue_s01	Gungan Statue Style 1 Schematic
item_schematic_gungan_statue_s02	Gungan Statue Style 2 Schematic
item_schematic_gungan_statue_s03	Gungan Statue Style 3 Schematic
item_schematic_gungan_statue_s04	Gungan Statue Style 4 Schematic
item_event_lifeday_holo_table	Holo-Entertainment Table
item_jedi_robe_06_01	Jedi Master Cloak (Brown)
item_jedi_robe_06_02	Jedi Master Cloak (Black)
item_tow_decor_jedi_relic_02_03	Jedi Relic
item_lifeday_gift_04_09	Life Day Lamp
object/tangible/painting/painting_schematic_weapon_s03.iff	Poster Block Turret Schematic
item_ep3_rewards_prayor_mobile	Prayer Mobile
item_tow_crystal_uber_05_01	Shard of Ferocity
item_tow_crystal_uber_05_02	Shard of Retaliation
item_tow_holocron_ab_immune_02_01	Sith Holocron
item_tow_decor_sith_relic_02_01	Sith Relic
item_housepack_painting_rebel_01_01	The War Phoenix
item_dna_worm	DNA Storage Device (Forage Worm)
item_pangrack_dna	DNA Storage Device (Pangrack)
