strQuality	strItemName	strItemType	enabled	comments
s	s	s	Int[1]	s
all	object/tangible/ship/components/armor/arm_corellian_standard_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_freitek_standard.iff	armor		
all	object/tangible/ship/components/armor/arm_incom_modified_standard_plate.iff	armor		
all	object/tangible/ship/components/armor/arm_koensayr_enhanced_heavy_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_koensayr_enhanced_standard_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_koensayr_heavy_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_koensayr_light_advanced_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_kse_heavy_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_kse_modified_heavy_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_mandal_custom_heavy_composite.iff	armor		
all	object/tangible/ship/components/armor/arm_mandal_double_plated_composite_j7.iff	armor		
all	object/tangible/ship/components/armor/arm_mandal_heavy_composite.iff	armor		
all	object/tangible/ship/components/armor/arm_mission_reward_imperial_sfs_light_military.iff	armor		
all	object/tangible/ship/components/armor/arm_sds_triplate_system.iff	armor		
all	object/tangible/ship/components/armor/arm_sfs_enhanced_standard_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_sorosuub_heavy_plastisteel.iff	armor		
all	object/tangible/ship/components/armor/arm_sorosuub_special_intermediate_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_subpro_improved_standard_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_subpro_standard_plastisteel.iff	armor		
all	object/tangible/ship/components/armor/armor_alderaan_royal_plate.iff	armor		
all	object/tangible/ship/components/armor/armor_alderaan_royal_weave.iff	armor		
all	object/tangible/ship/components/armor/armor_mandal_insulated_i5.iff	armor		
all	object/tangible/ship/components/armor/armor_subpro_light_plasteel.iff	armor		
all	object/tangible/ship/components/armor/armor_trilon_custom.iff	armor		
all	object/tangible/ship/components/armor/armor_trilon_unknown.iff	armor		
all	object/tangible/ship/components/booster/bst_corellian_heavy_thrust_enhancer.iff	booster		
all	object/tangible/ship/components/booster/bst_corellian_promotional_standard_thrust_enhancer.iff	booster		
all	object/tangible/ship/components/booster/bst_incom_enhanced_mynock.iff	booster		
all	object/tangible/ship/components/booster/bst_incom_intimidator_mk3.iff	booster		
all	object/tangible/ship/components/booster/bst_incom_vynock.iff	booster		
all	object/tangible/ship/components/booster/bst_kde_br12.iff	booster		
all	object/tangible/ship/components/booster/bst_koensayr_heavy.iff	booster		
all	object/tangible/ship/components/booster/bst_koensayr_improved_standard.iff	booster		
all	object/tangible/ship/components/booster/bst_koensayr_racer_mk1.iff	booster		
all	object/tangible/ship/components/booster/bst_kse_bti2.iff	booster		
all	object/tangible/ship/components/booster/bst_kse_performance_bti1.iff	booster		
all	object/tangible/ship/components/booster/bst_kuat_military_mk2.iff	booster		
all	object/tangible/ship/components/booster/bst_mandal_jbj_mk3.iff	booster		
all	object/tangible/ship/components/booster/bst_mandal_modified_jbj_mk2.iff	booster		
all	object/tangible/ship/components/booster/bst_mission_reward_imperial_rss_ion_booster.iff	booster		
all	object/tangible/ship/components/booster/bst_mission_reward_neutral_mandal_m_series.iff	booster		
all	object/tangible/ship/components/booster/bst_mission_reward_rebel_novaldex_hypernova.iff	booster		
all	object/tangible/ship/components/booster/bst_moncal_deluxe_standard.iff	booster		
all	object/tangible/ship/components/booster/bst_moncal_heavy.iff	booster		
all	object/tangible/ship/components/booster/bst_novaldex_pulsar.iff	booster		
all	object/tangible/ship/components/booster/bst_qualdex_xboost_mk2.iff	booster		
all	object/tangible/ship/components/booster/bst_qualdex_xboost_mk3.iff	booster		
all	object/tangible/ship/components/booster/bst_rss_special.iff	booster		
all	object/tangible/ship/components/booster/bst_sds_enhanced_imperial_2.iff	booster		
all	object/tangible/ship/components/booster/bst_sorosuub_improved_liberator_mk2.iff	booster		
all	object/tangible/ship/components/booster/bst_sorosuub_liberator_mk3.iff	booster		
all	object/tangible/ship/components/booster/bst_subpro_accelatron_mk3.iff	booster		
all	object/tangible/ship/components/booster/bst_subpro_enhanced_accelatron_mk2.iff	booster		
all	object/tangible/ship/components/booster/bst_surronian_nomad_x8.iff	booster		
all	object/tangible/ship/components/weapon_capacitor/cap_corellian_deluxe_cruiser_grade_cap2.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_corellian_standard.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_gallofree_lt22.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_huppla_pasa_tisc_old_capacitor.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_incom_special_bjn825.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_koensayr_mk3.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_koensayr_rare_mk2.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_kse_mk3.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_kse_performance_mk2.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_mandal_powermaster_mk3.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_mandal_tuned_powermaster_mk2.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_moncal_heavy.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_moncal_modified_standard.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_novaldex_sarlacc_s2.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_novaldex_sarlacc_s3.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_q3.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_qualdex_conservator_qx1.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_rendili_overseer_j8.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_sds_special_imperial_2.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_sorosuub_premium_dynamo_mk2.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_sorosuub_turbo.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_subpro_defiant_c1.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_subpro_gallant_a1.iff	capacitor		
all	object/tangible/ship/components/weapon_capacitor/cap_z95_deepwell_k5.iff	capacitor		
all	object/tangible/ship/components/droid_interface/ddi_freitek_modified_droid_commander_mk1.iff	droid_interface		
all	object/tangible/ship/components/droid_interface/ddi_gallofree_level1.iff	droid_interface		
all	object/tangible/ship/components/droid_interface/ddi_haor_chall_vintage_piece.iff	droid_interface		
all	object/tangible/ship/components/droid_interface/ddi_hk_mk1.iff	droid_interface		
all	object/tangible/ship/components/droid_interface/ddi_incom_fast_droid_interface_mk2.iff	droid_interface		
all	object/tangible/ship/components/droid_interface/ddi_kde_governor_mk2.iff	droid_interface		
all	object/tangible/ship/components/droid_interface/ddi_kse_custom_manager_mk2.iff	droid_interface		
all	object/tangible/ship/components/droid_interface/ddi_mission_reward_neutral_sorosuub_w19.iff	droid_interface		
