loc_x	loc_y	loc_z	yaw
f	f	f	f
-3184	23	3211	169
-3148	20	3210	-176
-3147	22	3226	-5
-3123	22	3204	69
-3146	19	3183	93
-3141	21	3163	149
-3107	18	3175	-33
-3084	28	3205	16
-3067	29	3233	-89
-3055	25	3201	146
-3030	29	3200	-123
-3006	29	3209	166
-2987	29	3206	22
-3028	25	3179	139
-3049	24	3180	-59
-3052	25	3189	109
-3088	23	3186	-146
-3115	22	3194	-28
-3134	20	3171	-56
-3125	19	3136	157
-3103	16	3115	-83
-3122	21	3097	-38
-3126	22	3088	58
-3136	22	3073	-153
-3105	34	3078	13
-3107	29	3069	-27
-3116	30	3054	-36
-3101	52	3008	4
-3111	55	2976	93
-3163	36	2929	75
-3180	22	2923	84
-3179	25	2904	-114
-3201	25	2880	152
-3223	26	2910	107
-3237	29	2906	-135
-3247	25	2924	-152
-3261	25	2931	39
-3265	34	2912	147
-3244	37	2882	119
-3233	36	2872	-8
-3203	37	2855	-6
-3183	29	2863	142
-3286	30	2944	40
-3307	44	2950	2
-3320	44	3008	-17
-3321	43	3055	-12
-3304	31	3067	-110
-3280	19	3090	74
-3269	21	3118	-144
-3277	32	3143	8
-3561	36	3162	2
-3249	39	3184	90
-3230	27	3175	-17
-3246	29	3163	-50
-3245	38	3191	-46
-3202	23	3202	-81
-3205	36	3211	-144
-3197	36	3226	-15
-3179	33	3233	-178
-3161	35	3241	89
-3178	46	3248	-75
-3136	46	3263	139
-3097	36	3246	-103
-3258	19	3099	86
-3290	23	3074	23
-4014	123	-77	164
-4023	123	-81	-167
-4063	125	-73	-7
-4072	126	-77	-107
-4076	130	-111	73
-4090	130	-120	-116
-4095	125	-82	4
-4101	124	-56	107
-4108	123	-54	91
-4133	120	-47	-36
-4142	120	-54	-29
-4152	120	-52	141
-4170	123	-69	111
-4164	121	-82	112
-4182	125	-85	-144
-4172	121	-93	159
-4184	124	-107	-6
-4200	126	-114	127
-4202	125	-132	70
-4197	126	-142	-50
-4163	121	-117	-38
-4150	126	-139	9
-4168	125	-138	-33
-4191	126	-151	140
-4156	128	-148	22
-4134	130	-159	-19
-4164	134	-182	73
-4140	135	-197	-166
-4132	133	-185	126
-4102	128	-202	-151
-4099	130	-186	137
-4073	130	-149	169
-4052	128	-135	145
-4069	124	-200	19
-4054	119	-202	-161
-4086	127	-224	66
-4074	123	-234	-62
-4072	124	-252	-49
-4066	123	-263	5
-4026	120	-274	-160
-4004	121	-290	-163
-3975	122	-278	-49
-3956	123	-278	178
-3943	128	-235	160
-3963	123	-245	67
-3960	127	-228	-49
-3945	129	-228	-162
-3933	130	-219	-145
-3925	130	-218	39
-3964	131	-193	135
-3942	130	-182	79
-3958	131	-168	50
-3955	129	-141	58
-3967	132	-138	-8
-3982	132	-153	131
-4011	131	-151	-110
-3996	131	-177	-170
-3987	131	-119	37
-3991	129	-101	-79
-3994	126	-85	-175
180	151	4043	34
199	157	4051	1
224	165	4058	-67
246	169	4049	80
273	185	4072	-139
279	193	4083	10
323	194	4070	159
331	195	4070	53
343	197	4076	-135
366	206	4084	169
375	216	4106	55
400	212	4094	-122
435	220	4121	125
463	232	4132	-173
477	228	4131	-129
485	232	4138	65
493	230	4128	44
562	227	4142	66
603	231	4154	73
597	234	4173	28
581	229	4215	-45
599	243	4234	103
591	254	4252	25
604	256	4260	34
589	266	4284	-89
595	264	4302	36
616	263	4317	143
591	269	4313	163
613	272	4335	-80
601	277	4361	-178
615	271	4385	128
613	273	4405	81
631	272	4402	-177
620	270	4437	-32
641	253	4483	-22
640	259	4513	110
626	249	4575	-27
607	245	4612	-75
583	252	4623	157
591	251	4656	-129
576	259	4674	-159
556	258	4673	-4
564	270	4699	40
504	275	4736	103
482	285	4748	-165
465	298	4736	-151
447	312	4737	-124
433	318	4739	72
408	341	4742	-90
389	344	4747	-165
373	337	4746	19
360	337	4762	-113
340	330	4764	127
275	337	4751	32
281	340	4741	31
246	354	4728	-67
206	371	4693	54
213	372	4687	50
177	375	4673	174
172	383	4647	32
-2601	131	4948	-57
-2601	131	4948	-5
-2597	129	4965	-134
-2598	131	4952	114
-2604	131	4959	-40
-848	146	2796	-22
-854	146	2793	85
-858	146	2788	-175
-845	146	2795	22
-852	146	2782	132
869	132	1097	-24
872	131	1093	137
862	132	1100	-75
868	132	1104	116
859	133	1109	-162
1128	133	-1017	-38
1130	134	-1017	176
1123	134	-1020	-102
1119	134	-1019	69
1125	135	-1023	153
