db_id	templateFilename
s	s
hair_human_male_s01	object/tangible/hair/human/hair_human_male_s01.iff
hair_human_male_s02	object/tangible/hair/human/hair_human_male_s02.iff
hair_human_male_s03	object/tangible/hair/human/hair_human_male_s03.iff
hair_human_male_s04	object/tangible/hair/human/hair_human_male_s04.iff
hair_human_male_s05	object/tangible/hair/human/hair_human_male_s05.iff
hair_human_male_s06	object/tangible/hair/human/hair_human_male_s06.iff
hair_human_male_s07	object/tangible/hair/human/hair_human_male_s07.iff
hair_human_male_s08	object/tangible/hair/human/hair_human_male_s08.iff
hair_human_male_s09	object/tangible/hair/human/hair_human_male_s09.iff
hair_human_male_s10	object/tangible/hair/human/hair_human_male_s10.iff
hair_human_male_s11	object/tangible/hair/human/hair_human_male_s11.iff
hair_human_male_s12	object/tangible/hair/human/hair_human_male_s12.iff
hair_human_male_s13	object/tangible/hair/human/hair_human_male_s13.iff
hair_human_male_s14	object/tangible/hair/human/hair_human_male_s14.iff
hair_human_male_s15	object/tangible/hair/human/hair_human_male_s15.iff
hair_human_male_s16	object/tangible/hair/human/hair_human_male_s16.iff
hair_human_male_s17	object/tangible/hair/human/hair_human_male_s17.iff
hair_human_male_s18	object/tangible/hair/human/hair_human_male_s18.iff
hair_human_male_s19	object/tangible/hair/human/hair_human_male_s19.iff
hair_human_male_s20	object/tangible/hair/human/hair_human_male_s20.iff
hair_human_male_s21	object/tangible/hair/human/hair_human_male_s21.iff
hair_human_male_s22	object/tangible/hair/human/hair_human_male_s22.iff
hair_human_male_s23	object/tangible/hair/human/hair_human_male_s23.iff
hair_human_male_s24	object/tangible/hair/human/hair_human_male_s24.iff
hair_human_male_s25	object/tangible/hair/human/hair_human_male_s25.iff
hair_human_male_s26	object/tangible/hair/human/hair_human_male_s26.iff
hair_human_male_s27	object/tangible/hair/human/hair_human_male_s27.iff
hair_human_male_s28	object/tangible/hair/human/hair_human_male_s28.iff
hair_human_male_s29	object/tangible/hair/human/hair_human_male_s29.iff
hair_human_male_s30	object/tangible/hair/human/hair_human_male_s30.iff
hair_human_male_s31	object/tangible/hair/human/hair_human_male_s31.iff
hair_human_male_s32	object/tangible/hair/human/hair_human_male_s32.iff
hair_human_male_s33	object/tangible/hair/human/hair_human_male_s33.iff
hair_human_male_s34	object/tangible/hair/human/hair_human_male_s34.iff
hair_human_male_s35	object/tangible/hair/human/hair_human_male_s35.iff
hair_human_male_s37	object/tangible/hair/human/hair_human_male_s37.iff
hair_human_male_s38	object/tangible/hair/human/hair_human_male_s38.iff
hair_human_male_s39	object/tangible/hair/human/hair_human_male_s39.iff
hair_human_male_s40	object/tangible/hair/human/hair_human_male_s40.iff
hair_human_male_s41	object/tangible/hair/human/hair_human_male_s41.iff
hair_human_male_s42	object/tangible/hair/human/hair_human_male_s42.iff
hair_human_male_s43	object/tangible/hair/human/hair_human_male_s43.iff
hair_human_male_s44	object/tangible/hair/human/hair_human_male_s44.iff
hair_human_male_s45	object/tangible/hair/human/hair_human_male_s45.iff
hair_human_male_s46	object/tangible/hair/human/hair_human_male_s46.iff
hair_human_male_s47	object/tangible/hair/human/hair_human_male_s47.iff
hair_human_male_s48	object/tangible/hair/human/hair_human_male_s48.iff
hair_human_male_s49	object/tangible/hair/human/hair_human_male_s49.iff
hair_human_male_s50	object/tangible/hair/human/hair_human_male_s50.iff
hair_human_male_s51	object/tangible/hair/human/hair_human_male_s51.iff
hair_human_male_s52	object/tangible/hair/human/hair_human_male_s52.iff
hair_human_male_s53	object/tangible/hair/human/hair_human_male_s53.iff
hair_human_male_s54	object/tangible/hair/human/hair_human_male_s54.iff
hair_human_male_s55	object/tangible/hair/human/hair_human_male_s55.iff
