db_id	templateFilename
s	s
hair_rodian_female_s01	object/tangible/hair/rodian/hair_rodian_female_s01.iff
hair_rodian_female_s02	object/tangible/hair/rodian/hair_rodian_female_s02.iff
hair_rodian_female_s03	object/tangible/hair/rodian/hair_rodian_female_s03.iff
hair_rodian_female_s04	object/tangible/hair/rodian/hair_rodian_female_s04.iff
hair_rodian_female_s05	object/tangible/hair/rodian/hair_rodian_female_s05.iff
hair_rodian_female_s06	object/tangible/hair/rodian/hair_rodian_female_s06.iff
hair_rodian_female_s07	object/tangible/hair/rodian/hair_rodian_female_s07.iff
hair_rodian_female_s08	object/tangible/hair/rodian/hair_rodian_female_s08.iff
hair_rodian_female_s09	object/tangible/hair/rodian/hair_rodian_female_s09.iff
hair_rodian_female_s10	object/tangible/hair/rodian/hair_rodian_female_s10.iff
hair_rodian_female_s11	object/tangible/hair/rodian/hair_rodian_female_s11.iff
hair_rodian_female_s12	object/tangible/hair/rodian/hair_rodian_female_s12.iff
hair_rodian_female_s13	object/tangible/hair/rodian/hair_rodian_female_s13.iff
hair_rodian_female_s14	object/tangible/hair/rodian/hair_rodian_female_s14.iff
hair_rodian_female_s15	object/tangible/hair/rodian/hair_rodian_female_s15.iff
hair_rodian_female_s16	object/tangible/hair/rodian/hair_rodian_female_s16.iff
hair_rodian_female_s17	object/tangible/hair/rodian/hair_rodian_female_s17.iff
hair_rodian_female_s18	object/tangible/hair/rodian/hair_rodian_female_s18.iff
hair_rodian_female_s19	object/tangible/hair/rodian/hair_rodian_female_s19.iff
hair_rodian_female_s20	object/tangible/hair/rodian/hair_rodian_female_s20.iff
hair_rodian_female_s21	object/tangible/hair/rodian/hair_rodian_female_s21.iff
hair_rodian_female_s22	object/tangible/hair/rodian/hair_rodian_female_s22.iff
hair_rodian_female_s23	object/tangible/hair/rodian/hair_rodian_female_s23.iff
hair_rodian_female_s24	object/tangible/hair/rodian/hair_rodian_female_s24.iff
hair_rodian_female_s25	object/tangible/hair/rodian/hair_rodian_female_s25.iff
hair_rodian_female_s26	object/tangible/hair/rodian/hair_rodian_female_s26.iff
hair_rodian_female_s27	object/tangible/hair/rodian/hair_rodian_female_s27.iff
hair_rodian_female_s28	object/tangible/hair/rodian/hair_rodian_female_s28.iff
hair_rodian_female_s29	object/tangible/hair/rodian/hair_rodian_female_s29.iff
hair_rodian_female_s30	object/tangible/hair/rodian/hair_rodian_female_s30.iff
hair_rodian_female_s31	object/tangible/hair/rodian/hair_rodian_female_s31.iff
hair_rodian_female_s32	object/tangible/hair/rodian/hair_rodian_female_s32.iff
hair_rodian_female_s33	object/tangible/hair/rodian/hair_rodian_female_s33.iff
hair_rodian_female_s34	object/tangible/hair/rodian/hair_rodian_female_s34.iff
hair_rodian_female_s35	object/tangible/hair/rodian/hair_rodian_female_s35.iff
hair_rodian_female_s36	object/tangible/hair/rodian/hair_rodian_female_s36.iff
hair_rodian_female_s37	object/tangible/hair/rodian/hair_rodian_female_s37.iff
hair_rodian_female_s38	object/tangible/hair/rodian/hair_rodian_female_s38.iff
hair_rodian_female_s39	object/tangible/hair/rodian/hair_rodian_female_s39.iff
hair_rodian_female_s40	object/tangible/hair/rodian/hair_rodian_female_s40.iff
hair_rodian_female_s41	object/tangible/hair/rodian/hair_rodian_female_s41.iff
hair_rodian_female_s42	object/tangible/hair/rodian/hair_rodian_female_s42.iff
hair_rodian_female_s43	object/tangible/hair/rodian/hair_rodian_female_s43.iff
hair_rodian_female_s44	object/tangible/hair/rodian/hair_rodian_female_s44.iff
hair_rodian_female_s45	object/tangible/hair/rodian/hair_rodian_female_s45.iff
hair_rodian_female_s46	object/tangible/hair/rodian/hair_rodian_female_s46.iff
hair_rodian_female_s47	object/tangible/hair/rodian/hair_rodian_female_s47.iff
hair_rodian_female_s48	object/tangible/hair/rodian/hair_rodian_female_s48.iff
hair_rodian_female_s49	object/tangible/hair/rodian/hair_rodian_female_s49.iff
hair_rodian_female_s50	object/tangible/hair/rodian/hair_rodian_female_s50.iff
hair_rodian_female_s51	object/tangible/hair/rodian/hair_rodian_female_s51.iff
hair_rodian_female_s52	object/tangible/hair/rodian/hair_rodian_female_s52.iff
hair_rodian_female_s53	object/tangible/hair/rodian/hair_rodian_female_s53.iff
hair_rodian_female_s54	object/tangible/hair/rodian/hair_rodian_female_s54.iff
hair_rodian_female_s55	object/tangible/hair/rodian/hair_rodian_female_s55.iff
hair_rodian_female_s56	object/tangible/hair/rodian/hair_rodian_female_s56.iff
