db_id	templateFilename
s	s
hair_wookiee_female_s01	object/tangible/hair/wookiee/hair_wookiee_female_s01.iff
hair_wookiee_female_s02	object/tangible/hair/wookiee/hair_wookiee_female_s02.iff
hair_wookiee_female_s04	object/tangible/hair/wookiee/hair_wookiee_female_s04.iff
hair_wookiee_female_s05	object/tangible/hair/wookiee/hair_wookiee_female_s05.iff
hair_wookiee_female_s13	object/tangible/hair/wookiee/hair_wookiee_female_s13.iff
hair_wookiee_female_s14	object/tangible/hair/wookiee/hair_wookiee_female_s14.iff
hair_wookiee_female_s15	object/tangible/hair/wookiee/hair_wookiee_female_s15.iff
hair_wookiee_female_s16	object/tangible/hair/wookiee/hair_wookiee_female_s16.iff
hair_wookiee_female_s17	object/tangible/hair/wookiee/hair_wookiee_female_s17.iff
hair_wookiee_female_s18	object/tangible/hair/wookiee/hair_wookiee_female_s18.iff
hair_wookiee_female_beard_s01	object/tangible/hair/wookiee/hair_wookiee_female_beard_s01.iff
hair_wookiee_female_beard_s10	object/tangible/hair/wookiee/hair_wookiee_female_beard_s10.iff
