ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	NUM_REQUIRED	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	b	s	s	s	s	f	f	f
quest.task.ground.go_to_location	@quest/ground/wod_outcast_3:task00_journal_entry_title	@quest/ground/wod_outcast_3:task00_journal_entry_description	1			0	1,5		gotoOutcast	0				0	none	none				1		1			1	dathomir	-2597	131	4952			@quest/ground/wod_outcast_3:task00_waypoint_name	0	0.0	0.0	0.0		10.0	0										
quest.task.ground.wait_for_signal	@quest/ground/wod_outcast_3:task01_journal_entry_title	@quest/ground/wod_outcast_3:task01_journal_entry_description	0			0	2		talkOutcastNightsister	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	wod_outcast_nightsister_win	1	0			0		0	0	0
quest.task.ground.go_to_location	@quest/ground/wod_outcast_3:task02_journal_entry_title	@quest/ground/wod_outcast_3:task02_journal_entry_description	1			0	3		gotoRubina2	0				0	none	none				1		1			1	dathomir	-3177	22	3184			@quest/ground/wod_outcast_3:task02_waypoint_name	0	0.0	0.0	0.0		10.0	0										
quest.task.ground.wait_for_signal	@quest/ground/wod_outcast_3:task03_journal_entry_title	@quest/ground/wod_outcast_3:task03_journal_entry_description	0			0	4		talkRubinaNightsister	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	wod_outcast_nightsister_win_2	1	0			0		0	0	0
quest.task.ground.complete_quest	@quest/ground/wod_outcast_3:task04_journal_entry_title	@quest/ground/wod_outcast_3:task04_journal_entry_description	0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													
quest.task.ground.wait_for_signal	@quest/ground/wod_outcast_3:task05_journal_entry_title	@quest/ground/wod_outcast_3:task05_journal_entry_description	1			0	6		talkOutcastSinging	0				0	none	none				1		1			1	dathomir	-2597	131	4952			@quest/ground/wod_outcast_3:task05_waypoint_name	0	0.0	0.0	0.0			0	wod_outcast_singing_win	1	0			0		0	0	0
quest.task.ground.go_to_location	@quest/ground/wod_outcast_3:task06_journal_entry_title	@quest/ground/wod_outcast_3:task06_journal_entry_description	1			0	7		gotoRubina1	0				0	none	none				1		1			1	dathomir	-3177	22	3184			@quest/ground/wod_outcast_3:task06_waypoint_name	0	0.0	0.0	0.0		10.0	0										
quest.task.ground.wait_for_signal	@quest/ground/wod_outcast_3:task07_journal_entry_title	@quest/ground/wod_outcast_3:task07_journal_entry_description	0			0	8		talkRubinaSinging	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	wod_outcast_singing_win_2	1	0			0		0	0	0
quest.task.ground.complete_quest	@quest/ground/wod_outcast_3:task08_journal_entry_title	@quest/ground/wod_outcast_3:task08_journal_entry_description	0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													
