ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	NUM_REQUIRED	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	b	s	s	s	s	f	f	f	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i	s	s
quest.task.ground.go_to_location	@quest/ground/wod_sister2:task00_journal_entry_title	@quest/ground/wod_sister2:task00_journal_entry_description	1			0	1,2,3,4,5		findVillage	0				0	none	none				1		1			1	dathomir	-3572	88	-6017			@quest/ground/wod_sister2:task00_waypoint_name	0	0.0	0.0	0.0		10.0	0																																			
quest.task.ground.wait_for_signal	@quest/ground/wod_sister2:task01_journal_entry_title	@quest/ground/wod_sister2:task01_journal_entry_description	1			0			fire4	0				0	none	none				1		1			0	dathomir	0.0	0.0	0.0				0	0.0	0.0	0.0			0	setFire4	1	0			0		0	0	0																									
quest.task.ground.wait_for_signal	@quest/ground/wod_sister2:task02_journal_entry_title	@quest/ground/wod_sister2:task02_journal_entry_description	1			0			fire3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	setFire3	1	0			0		0	0	0																									
quest.task.ground.wait_for_signal	@quest/ground/wod_sister2:task03_journal_entry_title	@quest/ground/wod_sister2:task03_journal_entry_description	1			0			fire2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	setFire2	1	0			0		0	0	0																									
quest.task.ground.wait_for_signal	@quest/ground/wod_sister2:task04_journal_entry_title	@quest/ground/wod_sister2:task04_journal_entry_description	1			0			fire1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	setFire1	1	0			0		0	0	0																									
quest.task.ground.wait_for_tasks	@quest/ground/wod_sister2:task05_journal_entry_title	@quest/ground/wod_sister2:task05_journal_entry_description	1			0	6		fireFire	0				0	none	none				1		1			1	dathomir	-3572	88	-6017			@quest/ground/wod_sister2:task05_waypoint_name	0	0.0	0.0	0.0			0											quest/wod_sister2	fire1	@quest/ground/wod_sister2:task05_task_display_string_1	quest/wod_sister2	fire2	@quest/ground/wod_sister2:task05_task_display_string_2	quest/wod_sister2	fire3	@quest/ground/wod_sister2:task05_task_display_string_3	quest/wod_sister2	fire4	@quest/ground/wod_sister2:task05_task_display_string_4													
quest.task.ground.destroy_multi	@quest/ground/wod_sister2:task06_journal_entry_title	@quest/ground/wod_sister2:task06_journal_entry_description	1			0	7		killSister2	0				0	none	none				1		1			1	dathomir	-3517	92	-6050			@quest/ground/wod_sister2:task06_waypoint_name	0	0.0	0.0	0.0			0																													wod_second_sister_aggro			1	0		
quest.task.ground.comm_player			0			0	8		ghostComm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																					@quest/ground/wod_sister2:task07_comm_message_text	object/mobile/dressed_wod_ghost_guide_comm.iff
quest.task.ground.wait_for_signal	@quest/ground/wod_sister2:task08_journal_entry_title	@quest/ground/wod_sister2:task08_journal_entry_description	1			0	9		returnGhost	0				0	none	none				1		1			1	dathomir	-6895.10009765625	461.869995117188	-4853.72998046875			@quest/ground/wod_sister2:task08_waypoint_name	0	0.0	0.0	0.0			0	hasReturned	1	0			0		0	0	0																									
