SKILLNAME	ICON	ACTIVITY_TYPE
s	s	s
class_forcesensitive_phase1_novice	/Styles.Icon.command.fs_dm	
class_forcesensitive_phase1_02	/Styles.Icon.command.fs_buff_ca	
class_forcesensitive_phase1_03	/Styles.Icon.command.fs_buff_def_1	
class_forcesensitive_phase1_04	/Styles.Icon.command.fs_sweep	
class_forcesensitive_phase1_05	/Styles.Icon.command.fs_buff_ca	
class_forcesensitive_phase1_master	/Styles.Icon.command.fs_dm	
class_forcesensitive_phase2_novice	/Styles.Icon.command.fs_buff_def_1	
class_forcesensitive_phase2_02	/Styles.Icon.command.saberBlock	
class_forcesensitive_phase2_03	/Styles.Icon.command.fs_buff_ca	
class_forcesensitive_phase2_04	/Styles.Icon.command.fs_sh	
class_forcesensitive_phase2_05	/Styles.Icon.command.fs_sweep	
class_forcesensitive_phase2_master	/Styles.Icon.command.fs_dm	
class_forcesensitive_phase3_novice	/Styles.Icon.command.fs_sweep	
class_forcesensitive_phase3_02	/Styles.Icon.command.fs_dm_cc_crit	
class_forcesensitive_phase3_03	/Styles.Icon.command.fs_buff_def_1	
class_forcesensitive_phase3_04	/Styles.Icon.command.fs_sh	
class_forcesensitive_phase3_05	/Styles.Icon.command.fs_buff_ca	
class_forcesensitive_phase3_master	/Styles.Icon.command.fs_dm	
class_forcesensitive_phase4_novice	/Styles.Icon.command.fs_buff_def_1	
class_forcesensitive_phase4_02	/Styles.Icon.command.fs_dm	
class_forcesensitive_phase4_03	/Styles.Icon.command.fs_sweep	
class_forcesensitive_phase4_04	/Styles.Icon.command.fs_sh	
class_forcesensitive_phase4_05	/Styles.Icon.command.fs_buff_def_1	
class_forcesensitive_phase4_master	/Styles.Icon.command.fs_dm	
class_bountyhunter_phase1_novice	/Styles.Icon.command.bh_dm	
class_bountyhunter_phase1_02	/Styles.Icon.command.bh_dm_crit	
class_bountyhunter_phase1_03	/Styles.Icon.command.bh_dm_cc	
class_bountyhunter_phase1_04	/Styles.Icon.command.bh_dm	
class_bountyhunter_phase1_05	/Styles.Icon.command.bh_dm_crit	
class_bountyhunter_phase1_master	/Styles.Icon.command.bh_dm_cc	
class_bountyhunter_phase2_novice	/Styles.Icon.command.bh_dm	
class_bountyhunter_phase2_02	/Styles.Icon.command.bh_dm_cc	
class_bountyhunter_phase2_03	/Styles.Icon.command.bh_dm	
