NAME	PARENT	GRAPH_TYPE	GOD_ONLY	IS_TITLE	IS_PROFESSION	IS_HIDDEN	MONEY_REQUIRED	POINTS_REQUIRED	SKILLS_REQUIRED_COUNT	SKILLS_REQUIRED	PRECLUSION_SKILLS	XP_TYPE	XP_COST	XP_CAP	MISSIONS_REQUIRED	APPRENTICESHIPS_REQUIRED	STATS_REQUIRED	SPECIES_REQUIRED	JEDI_STATE_REQUIRED	SKILL_ABILITY	COMMANDS	SKILL_MODS	SCHEMATICS_GRANTED	SCHEMATICS_REVOKED	SEARCHABLE	ENDER
s	s	e(oneByFour=1,twoByFour=2,threeByFour=3,fourByFour=4,pyramid=5)[fourByFour]	b	b	b	b	i	i	i[0]	s	s	s	i	i	s	i	s	s	e(none=0,forceSensitive=1,jedi=2,forceRankedLight=4,forceRankedDark=8)[none]	s	s	s	s	s	b[1]	i
swg_dev		fourByFour	1	1	1	1	0	0	0				0	0		0			none						0	0
swg_cs		fourByFour	1	1	1	1	0	0	0				0	0		0			none						0	0
combat_melee_basic		fourByFour	0	0	0	0	0	0	0				0	0		0			none						1	0
combat_ranged_weapons_basic		fourByFour	0	0	0	0	0	0	0				0	0		0			none						1	0
demo_combat		fourByFour	0	0	0	0	0	0	0				0	0		0			none						1	0
common_knowledge		fourByFour	0	0	0	0	0	0	0				0	0		0			none						1	0
utility		fourByFour	1	0	0	0	0	0	0				0	0		0			none						1	0
utility_beta	utility	fourByFour	1	0	0	0	0	0	0				0	0		0			none						1	0
utility_beta_demo_combat	utility_beta	fourByFour	1	0	0	0	0	0	0				0	0		0			none						1	0
utility_player	utility	fourByFour	1	0	0	0	0	0	0				0	0		0			none						1	0
class		fourByFour	1	0	0	1	0	0	0				0	0		0			none						0	0
class_trader	class	fourByFour	0	0	0	0	0	0	0				0	0		0			none						0	0
class_forcesensitive_phase1	class	oneByFour	0	0	1	0	0	0	0				0	0		0			none						1	0
class_forcesensitive_phase1_novice	class_forcesensitive_phase1	oneByFour	0	0	0	0	100	0	0			combat_general	100	4810		0			none		fs_dm_1	slope_move=25,cybernetic_psychosis_resistance=2			1	0
class_forcesensitive_phase1_02	class_forcesensitive_phase1	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase1_novice		combat_general	3700	16120		0			none		fs_buff_ca_1,forceThrow	private_use_buff_chance_line_fs_ae_dm_cc=1,private_use_buff_chance_line_fs_force_throw=1,private_use_buff_chance_line_fs_heal=1,expertise_focus_strength=25,expertise_focus_critical_buff_line=1			1	0
class_forcesensitive_phase1_03	class_forcesensitive_phase1_02	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase1_02		combat_general	12400	30160		0			none		fs_buff_def_1_1,fs_force_spark	expertise_stance_constitution=10,expertise_stance_glance_buff_line=1			1	0
class_forcesensitive_phase1_04	class_forcesensitive_phase1_03	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase1_03		combat_general	23200	67730		0			none		fs_sweep_1,fs_mind_trick_1,droid_flame_jet_1,droid_droideka_shield_1,droid_battery_dump_1,droid_regenerative_plating_1,droid_electrical_shock_1,droid_torturous_needle_1,droid_follow,droid_follow_other,droid_stay,droid_guard,droid_friend,droid_attack,droid_patrol,droid_patrol_point,droid_patrol_clear,droid_store,droid_transfer,droid_group,droid_trick_1,droid_trick_2,droid_trick_3,droid_trick_4				1	0
class_forcesensitive_phase1_05	class_forcesensitive_phase1_04	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase1_04		combat_general	52100	105300		0			none		fs_sh_0	expertise_focus_strength=25,expertise_focus_critical_buff_line=1			1	0
class_forcesensitive_phase1_master	class_forcesensitive_phase1	oneByFour	0	1	0	0	100	0	0	class_forcesensitive_phase1_05		combat_general	81000	151060		0			none		fs_dm_2,forceRun	slope_move=25,cybernetic_psychosis_resistance=2			1	0
class_forcesensitive_phase2	class	oneByFour	0	0	1	0	0	0	0				0	0		0			none						1	0
class_forcesensitive_phase2_novice	class_forcesensitive_phase2	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase1_master		combat_general	116200	205140		0			none		fs_sweep_2,wear_all_armor	expertise_stance_constitution=10,expertise_stance_glance_buff_line=1			1	0
class_forcesensitive_phase2_02	class_forcesensitive_phase2	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase2_novice		combat_general	157800	267540		0			none		saberBlock				1	0
class_forcesensitive_phase2_03	class_forcesensitive_phase2_02	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase2_02		combat_general	205800	339690		0			none		fs_dm_3	expertise_focus_strength=25,expertise_focus_critical_buff_line=1			1	0
class_forcesensitive_phase2_04	class_forcesensitive_phase2_03	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase2_03		combat_general	261300	423410		0			none		fs_sh_1				1	0
class_forcesensitive_phase2_05	class_forcesensitive_phase2_04	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase2_04		combat_general	325700	519610		0			none		fs_sweep_3	jedi_saber_assembly=20,jedi_saber_experimentation=20,expertise_stance_constitution=10,expertise_stance_glance_buff_line=1	craftJediTool,craftSaberA		1	0
class_forcesensitive_phase2_master	class_forcesensitive_phase2	oneByFour	0	1	0	0	100	0	0	class_forcesensitive_phase2_05		combat_general	399700	629980		0			none		fs_dm_4	jedi_saber_assembly=5,jedi_saber_experimentation=5,cybernetic_psychosis_resistance=2			1	0
class_forcesensitive_phase3	class	oneByFour	0	0	1	0	0	0	0				0	0		0			none						1	0
class_forcesensitive_phase3_novice	class_forcesensitive_phase3	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase2_master		combat_general	484600	756860		0			none		fs_sweep_4,fs_saber_intercept_1	jedi_saber_assembly=5,jedi_saber_experimentation=5,expertise_focus_strength=25,expertise_focus_critical_buff_line=1			1	0
class_forcesensitive_phase3_02	class_forcesensitive_phase3	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase3_novice		combat_general	582200	901160		0			none		fs_taunt	jedi_saber_assembly=5,jedi_saber_experimentation=5			1	0
class_forcesensitive_phase3_03	class_forcesensitive_phase3_02	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase3_02		combat_general	693200	1065610		0			none		fs_sweep_5	jedi_saber_assembly=5,jedi_saber_experimentation=5,expertise_stance_constitution=10,expertise_stance_glance_buff_line=1	craftSaberB		1	0
class_forcesensitive_phase3_04	class_forcesensitive_phase3_03	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase3_03		combat_general	819700	1252940		0			none		fs_sh_2	jedi_saber_assembly=5,jedi_saber_experimentation=5			1	0
class_forcesensitive_phase3_05	class_forcesensitive_phase3_04	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase3_04		combat_general	963800	1466790		0			none			jedi_saber_assembly=5,jedi_saber_experimentation=5,expertise_focus_strength=25,expertise_focus_critical_buff_line=1			1	0
class_forcesensitive_phase3_master	class_forcesensitive_phase3	oneByFour	0	1	0	0	100	0	0	class_forcesensitive_phase3_05		combat_general	1128300	1710540		0			none		fs_dm_5	jedi_saber_assembly=10,jedi_saber_experimentation=10,slope_move=5,cybernetic_psychosis_resistance=2			1	0
class_forcesensitive_phase4	class	oneByFour	0	0	1	0	0	0	0				0	0		0			none						1	0
class_forcesensitive_phase4_novice	class_forcesensitive_phase4	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase3_master		combat_general	1315800	1988090		0			none		fs_sweep_6,fs_sense_danger_1	jedi_saber_assembly=5,jedi_saber_experimentation=5,expertise_stance_constitution=10,expertise_stance_glance_buff_line=1	craftSaberC		1	0
class_forcesensitive_phase4_02	class_forcesensitive_phase4	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase4_novice		combat_general	1529300	2304380		0			none		fs_dm_6	jedi_saber_assembly=5,jedi_saber_experimentation=5			1	0
class_forcesensitive_phase4_03	class_forcesensitive_phase4_02	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase4_02		combat_general	1772600	2664480		0			none			jedi_saber_assembly=10,jedi_saber_experimentation=10	craftSaberD		1	0
class_forcesensitive_phase4_04	class_forcesensitive_phase4_03	oneByFour	0	0	0	0	100	0	0	class_forcesensitive_phase4_03		combat_general	2049600	3074500		0			none		fs_sweep_7,fs_sh_3	jedi_saber_assembly=5,jedi_saber_experimentation=5			1	0
